iter	Passed	Remaining
737	1504	533
738	1505	531
739	1506	529
740	1508	527
741	1509	524
742	1510	522
743	1511	520
744	1514	518
745	1516	516
746	1517	513
747	1518	511
748	1519	509
749	1520	506
750	1522	504
751	1523	502
752	1524	500
753	1525	497
754	1526	495
755	1529	493
756	1530	491
757	1531	489
758	1532	486
759	1534	484
760	1535	482
761	1536	479
762	1538	477
763	1539	475
764	1540	473
765	1541	470
766	1543	468
767	1545	466
768	1546	464
769	1548	462
770	1549	460
771	1551	458
772	1552	455
773	1553	453
774	1555	451
775	1556	449
776	1558	447
777	1560	445
778	1561	443
779	1562	440
780	1564	438
781	1565	436
782	1566	434
783	1567	431
784	1568	429
785	1569	427
786	1571	425
787	1573	423
788	1575	421
789	1576	418
790	1577	416
791	1579	414
792	1580	412
793	1581	410
794	1582	408
795	1583	405
796	1585	403
797	1586	401
798	1588	399
799	1590	397
800	1591	395
801	1592	393
802	1593	390
803	1594	388
804	1595	386
805	1597	384
806	1598	382
807	1599	380
808	1600	377
809	1602	376
810	1604	373
811	1605	371
812	1607	369
813	1608	367
814	1609	365
815	1610	363
816	1611	361
817	1612	358
818	1614	356
819	1615	354
820	1617	352
821	1618	350
822	1620	348
823	1621	346
824	1622	344
825	1623	342
826	1625	339
827	1626	337
828	1627	335
829	1628	333
830	1629	331
831	1630	329
832	1634	327
833	1635	325
834	1636	323
835	1638	321
836	1639	319
837	1641	317
838	1642	315
839	1643	313
840	1644	310
841	1646	308
842	1649	307
843	1650	305
844	1651	302
845	1652	300
846	1653	298
847	1655	296
848	1656	294
849	1657	292
850	1658	290
851	1659	288
852	1661	286
853	1663	284
854	1664	282
855	1666	280
856	1667	278
857	1668	276
858	1669	274
859	1670	271
860	1671	269
861	1673	267
862	1674	265
863	1675	263
864	1678	261
865	1679	259
866	1680	257
867	1682	255
868	1683	253
869	1684	251
870	1685	249
871	1686	247
872	1687	245
873	1689	243
874	1690	241
875	1693	239
876	1694	237
877	1695	235
878	1696	233
879	1698	231
880	1699	229
881	1700	227
882	1701	225
883	1703	223
884	1704	221
885	1706	219
886	1708	217
887	1709	215
888	1710	213
889	1711	211
890	1712	209
891	1713	207
892	1715	205
893	1716	203
894	1717	201
895	1718	199
896	1720	197
897	1722	195
898	1724	193
899	1725	191
900	1726	189
901	1727	187
902	1729	185
903	1730	183
904	1731	181
905	1732	179
906	1733	177
907	1736	175
908	1738	174
909	1740	172
910	1741	170
911	1742	168
912	1744	166
913	1745	164
914	1746	162
915	1748	160
916	1749	158
917	1752	156
918	1753	154
919	1754	152
920	1756	150
921	1757	148
922	1758	146
923	1759	144
924	1760	142
925	1762	140
926	1763	138
927	1764	136
928	1767	135
929	1768	133
930	1769	131
931	1770	129
932	1772	127
933	1773	125
934	1774	123
935	1775	121
936	1777	119
937	1778	117
938	1782	115
939	1783	113
940	1784	111
941	1785	109
942	1787	108
943	1788	106
944	1789	104
945	1790	102
946	1792	100
947	1793	98
948	1794	96
949	1797	94
950	1798	92
951	1799	90
952	1800	88
953	1801	86
954	1803	84
955	1804	83
956	1805	81
957	1806	79
958	1807	77
959	1809	75
960	1811	73
961	1812	71
962	1814	69
963	1815	67
964	1816	65
965	1817	63
966	1819	62
967	1820	60
968	1821	58
969	1822	56
970	1823	54
971	1826	52
972	1827	50
973	1829	48
974	1830	46
975	1832	45
976	1833	43
977	1835	41
978	1836	39
979	1838	37
980	1840	35
981	1841	33
982	1843	31
983	1844	29
984	1845	28
985	1846	26
986	1847	24
987	1848	22
988	1850	20
989	1851	18
990	1852	16
991	1854	14
992	1856	13
993	1857	11
994	1858	9
995	1860	7
996	1861	5
997	1862	3
998	1863	1
999	1864	0
